file_name,samp_per_pix,n_rows_image,n_cols_image
1459541791.dcm,1,5355,4915
1864590858.dcm,1,5355,4915
1874946579.dcm,1,5355,4915
462822612.dcm,1,5355,4915
1031443799.dcm,1,2776,2082
220375232.dcm,1,2776,2082
270344397.dcm,1,2776,2082
541722628.dcm,1,2776,2082
1365269360.dcm,1,5355,4915
288394860.dcm,1,5355,4915
562340703.dcm,1,5355,4915
893612858.dcm,1,5355,4915
1350492010.dcm,1,2294,1914
1967300488.dcm,1,2294,1914
2142944869.dcm,1,2294,1914
850559196.dcm,1,2294,1914
102733848.dcm,1,3062,2394
1648588715.dcm,1,3062,2394
202939811.dcm,1,3062,2394
294481519.dcm,1,3062,2394
495770405.dcm,1,3062,2394
1234933874.dcm,1,5355,4915
1577142909.dcm,1,5355,4915
1842203124.dcm,1,5355,4915
964141995.dcm,1,5355,4915
1207499426.dcm,1,3328,2560
1351270472.dcm,1,3328,2560
1464813991.dcm,1,3328,2560
349510516.dcm,1,3328,2560
906829939.dcm,1,3328,2560
94335194.dcm,1,3328,2560
1428987847.dcm,1,5355,4915
1614607569.dcm,1,5355,4915
1749389520.dcm,1,5355,4915
588678397.dcm,1,5355,4915
1238319934.dcm,1,5355,4915
2046475482.dcm,1,5355,4915
833024366.dcm,1,5355,4915
938549206.dcm,1,5355,4915
1479874325.dcm,1,5355,4915
1973073874.dcm,1,5355,4915
2029358943.dcm,1,5355,4915
51088550.dcm,1,5355,4915
1276618392.dcm,1,3328,2560
1450760951.dcm,1,3328,2560
1854592291.dcm,1,3328,2560
25264463.dcm,1,3328,2560
1007799858.dcm,1,4096,3328
166011602.dcm,1,4096,3328
1957744616.dcm,1,4096,3328
268368896.dcm,1,4096,3328
664674273.dcm,1,4096,3328
929754876.dcm,1,4096,3328
1181635673.dcm,1,4096,3328
1241778584.dcm,1,4096,3328
1245250349.dcm,1,4096,3328
1304802631.dcm,1,4096,3328
1480506800.dcm,1,4096,3328
1951607544.dcm,1,4096,3328
453020471.dcm,1,4096,3328
618254763.dcm,1,4096,3328
190315990.dcm,1,2776,2082
2057295788.dcm,1,2776,2082
238675415.dcm,1,2776,2082
929085221.dcm,1,2776,2082
1470873094.dcm,1,5355,4915
472095321.dcm,1,5355,4915
527043166.dcm,1,5355,4915
539757861.dcm,1,5355,4915
1854075671.dcm,1,3328,2560
394215927.dcm,1,4096,3328
494229141.dcm,1,4096,3328
50833170.dcm,1,3328,2560
1732550501.dcm,1,5355,4915
612913905.dcm,1,5355,4915
722196386.dcm,1,5355,4915
828772252.dcm,1,5355,4915
1891054212.dcm,1,4096,3328
1919498169.dcm,1,4096,3328
2029770528.dcm,1,4096,3328
473162373.dcm,1,4096,3328
1035012441.dcm,1,4096,3328
1495487293.dcm,1,4096,3328
1987272730.dcm,1,4096,3328
23590109.dcm,1,4096,3328
677689694.dcm,1,4096,3328
808365199.dcm,1,4096,3328
1013166704.dcm,1,4096,3328
1165309236.dcm,1,4096,3328
1360338805.dcm,1,4096,3328
1672636630.dcm,1,4096,3328
2110820077.dcm,1,4096,3328
388811999.dcm,1,4096,3328
613462606.dcm,1,4096,3328
1646384157.dcm,1,4096,3328
2137344394.dcm,1,4096,3328
441108517.dcm,1,4096,3328
726735438.dcm,1,4096,3328
1520248094.dcm,1,4096,3328
1626006836.dcm,1,4096,3328
1638919168.dcm,1,4096,3328
912156277.dcm,1,4096,3328
1173679750.dcm,1,3328,2560
229558076.dcm,1,3328,2560
629904228.dcm,1,3328,2560
669597068.dcm,1,3328,2560
1260861056.dcm,1,2776,2082
1516077730.dcm,1,2776,2082
1830062849.dcm,1,2776,2082
816393025.dcm,1,2776,2082
114671324.dcm,1,2776,2082
1622207304.dcm,1,2776,2082
33561657.dcm,1,2776,2082
864576083.dcm,1,2776,2082
1779471194.dcm,1,3328,2560
1827497738.dcm,1,3328,2560
2056985886.dcm,1,3328,2560
2062101003.dcm,1,3328,2560
1280087654.dcm,1,4096,3328
1774592645.dcm,1,4096,3328
2113019561.dcm,1,4096,3328
853416701.dcm,1,4096,3328
107381562.dcm,1,5355,4915
139226895.dcm,1,5355,4915
481841246.dcm,1,5355,4915
871078482.dcm,1,5355,4915
1352374842.dcm,1,4096,3328
194880525.dcm,1,4096,3328
611694376.dcm,1,4096,3328
782975270.dcm,1,4096,3328
2015481666.dcm,1,2776,2082
610638958.dcm,1,2776,2082
760010915.dcm,1,2776,2082
