file_name,transfer_syntax_uid
1459541791.dcm,1.2.840.10008.1.2.4.90
1864590858.dcm,1.2.840.10008.1.2.4.90
1874946579.dcm,1.2.840.10008.1.2.4.90
462822612.dcm,1.2.840.10008.1.2.4.90
1031443799.dcm,1.2.840.10008.1.2.4.90
220375232.dcm,1.2.840.10008.1.2.4.90
270344397.dcm,1.2.840.10008.1.2.4.90
541722628.dcm,1.2.840.10008.1.2.4.90
1365269360.dcm,1.2.840.10008.1.2.4.90
288394860.dcm,1.2.840.10008.1.2.4.90
562340703.dcm,1.2.840.10008.1.2.4.90
893612858.dcm,1.2.840.10008.1.2.4.90
1350492010.dcm,1.2.840.10008.1.2.4.70
1967300488.dcm,1.2.840.10008.1.2.4.70
2142944869.dcm,1.2.840.10008.1.2.4.70
850559196.dcm,1.2.840.10008.1.2.4.70
102733848.dcm,1.2.840.10008.1.2.4.70
1648588715.dcm,1.2.840.10008.1.2.4.70
202939811.dcm,1.2.840.10008.1.2.4.70
294481519.dcm,1.2.840.10008.1.2.4.70
495770405.dcm,1.2.840.10008.1.2.4.70
1234933874.dcm,1.2.840.10008.1.2.4.90
1577142909.dcm,1.2.840.10008.1.2.4.90
1842203124.dcm,1.2.840.10008.1.2.4.90
964141995.dcm,1.2.840.10008.1.2.4.90
1207499426.dcm,1.2.840.10008.1.2.4.70
1351270472.dcm,1.2.840.10008.1.2.4.70
1464813991.dcm,1.2.840.10008.1.2.4.70
349510516.dcm,1.2.840.10008.1.2.4.70
906829939.dcm,1.2.840.10008.1.2.4.70
94335194.dcm,1.2.840.10008.1.2.4.70
1428987847.dcm,1.2.840.10008.1.2.4.90
1614607569.dcm,1.2.840.10008.1.2.4.90
1749389520.dcm,1.2.840.10008.1.2.4.90
588678397.dcm,1.2.840.10008.1.2.4.90
1238319934.dcm,1.2.840.10008.1.2.4.90
2046475482.dcm,1.2.840.10008.1.2.4.90
833024366.dcm,1.2.840.10008.1.2.4.90
938549206.dcm,1.2.840.10008.1.2.4.90
1479874325.dcm,1.2.840.10008.1.2.4.90
1973073874.dcm,1.2.840.10008.1.2.4.90
2029358943.dcm,1.2.840.10008.1.2.4.90
51088550.dcm,1.2.840.10008.1.2.4.90
1276618392.dcm,1.2.840.10008.1.2.4.70
1450760951.dcm,1.2.840.10008.1.2.4.70
1854592291.dcm,1.2.840.10008.1.2.4.70
25264463.dcm,1.2.840.10008.1.2.4.70
1007799858.dcm,1.2.840.10008.1.2.4.70
166011602.dcm,1.2.840.10008.1.2.4.70
1957744616.dcm,1.2.840.10008.1.2.4.70
268368896.dcm,1.2.840.10008.1.2.4.70
664674273.dcm,1.2.840.10008.1.2.4.70
929754876.dcm,1.2.840.10008.1.2.4.70
1181635673.dcm,1.2.840.10008.1.2.4.70
1241778584.dcm,1.2.840.10008.1.2.4.70
1245250349.dcm,1.2.840.10008.1.2.4.70
1304802631.dcm,1.2.840.10008.1.2.4.70
1480506800.dcm,1.2.840.10008.1.2.4.70
1951607544.dcm,1.2.840.10008.1.2.4.70
453020471.dcm,1.2.840.10008.1.2.4.70
618254763.dcm,1.2.840.10008.1.2.4.70
190315990.dcm,1.2.840.10008.1.2.4.90
2057295788.dcm,1.2.840.10008.1.2.4.90
238675415.dcm,1.2.840.10008.1.2.4.90
929085221.dcm,1.2.840.10008.1.2.4.90
1470873094.dcm,1.2.840.10008.1.2.4.90
472095321.dcm,1.2.840.10008.1.2.4.90
527043166.dcm,1.2.840.10008.1.2.4.90
539757861.dcm,1.2.840.10008.1.2.4.90
1854075671.dcm,1.2.840.10008.1.2.4.70
394215927.dcm,1.2.840.10008.1.2.4.70
494229141.dcm,1.2.840.10008.1.2.4.70
50833170.dcm,1.2.840.10008.1.2.4.70
1732550501.dcm,1.2.840.10008.1.2.4.90
612913905.dcm,1.2.840.10008.1.2.4.90
722196386.dcm,1.2.840.10008.1.2.4.90
828772252.dcm,1.2.840.10008.1.2.4.90
1891054212.dcm,1.2.840.10008.1.2.4.90
1919498169.dcm,1.2.840.10008.1.2.4.90
2029770528.dcm,1.2.840.10008.1.2.4.90
473162373.dcm,1.2.840.10008.1.2.4.90
1035012441.dcm,1.2.840.10008.1.2.4.90
1495487293.dcm,1.2.840.10008.1.2.4.90
1987272730.dcm,1.2.840.10008.1.2.4.90
23590109.dcm,1.2.840.10008.1.2.4.90
677689694.dcm,1.2.840.10008.1.2.4.90
808365199.dcm,1.2.840.10008.1.2.4.90
1013166704.dcm,1.2.840.10008.1.2.4.70
1165309236.dcm,1.2.840.10008.1.2.4.70
1360338805.dcm,1.2.840.10008.1.2.4.70
1672636630.dcm,1.2.840.10008.1.2.4.70
2110820077.dcm,1.2.840.10008.1.2.4.70
388811999.dcm,1.2.840.10008.1.2.4.70
613462606.dcm,1.2.840.10008.1.2.4.70
1646384157.dcm,1.2.840.10008.1.2.4.70
2137344394.dcm,1.2.840.10008.1.2.4.70
441108517.dcm,1.2.840.10008.1.2.4.70
726735438.dcm,1.2.840.10008.1.2.4.70
1520248094.dcm,1.2.840.10008.1.2.4.90
