[{'num_units': 128, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 300}, (0.6392857432365417, 0.1380881369113922)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.0, 'optimizer': 'Adamax', 'n_epochs': 5, 'batch_size': 20, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 300}, (0.7017857432365417, 0.15581610798835754)]
[{'num_units': 512, 'filters': 64, 'dropout_rate': 0.3, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 5, 'n_augm': 400}, (0.8973214030265808, 0.011904760263860226)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.3, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 20, 'class_weight_binary': 0, 'pool_size': 4, 'n_augm': 300}, (0.53125, 0.16532635688781738)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.6, 'optimizer': 'Adamax', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 6, 'n_augm': 300}, (0.7723214030265808, 0.12055057287216187)]
[{'num_units': 512, 'filters': 64, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 2, 'n_augm': 300}, (0.4303571283817291, 0.1879475861787796)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'adam', 'n_epochs': 10, 'batch_size': 50, 'class_weight_binary': 1, 'pool_size': 3, 'n_augm': 200}, (0.1607142835855484, 0.18747694790363312)]
[{'num_units': 256, 'filters': 32, 'dropout_rate': 0.3, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 20, 'class_weight_binary': 0, 'pool_size': 6, 'n_augm': 300}, (0.8955357074737549, 0.0)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.0, 'optimizer': 'adam', 'n_epochs': 20, 'batch_size': 10, 'class_weight_binary': 1, 'pool_size': 4, 'n_augm': 200}, (0.7955357432365417, 0.08437500149011612)]
[{'num_units': 512, 'filters': 32, 'dropout_rate': 0.9, 'optimizer': 'RMSprop', 'n_epochs': 5, 'batch_size': 20, 'class_weight_binary': 1, 'pool_size': 3, 'n_augm': 400}, (0.8482142686843872, 0.06173468381166458)]
[{'num_units': 128, 'filters': 64, 'dropout_rate': 0.9, 'optimizer': 'Adamax', 'n_epochs': 10, 'batch_size': 10, 'class_weight_binary': 0, 'pool_size': 5, 'n_augm': 300}, (0.8857142925262451, 0.01785713993012905)]
